"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1248","Test Case 3: Login User with incorrect email and password","chromium","2025-12-24","passed","2025-12-24","Login and logout tests","userLoginAndRegistration.spec.ts","",""
"","1233","Test Case 5: Register User with existing email","chromium","2025-12-24","passed","2025-12-24","Registration tests","userLoginAndRegistration.spec.ts","",""
"","3368","Test Case 1: Register User","chromium","2025-12-24","passed","2025-12-24","Registration tests","userLoginAndRegistration.spec.ts","",""
"","2472","Test Case 4: Logout User","chromium","2025-12-24","passed","2025-12-24","Login and logout tests","userLoginAndRegistration.spec.ts","",""
"","1758","Test Case 2: Login User with correct email and password","chromium","2025-12-24","passed","2025-12-24","Login and logout tests","userLoginAndRegistration.spec.ts","",""
